"id","code","name","active"
"hr_profession_1213_17","1213 17","Pamatdarbības struktūrvienības VADĪTĀJS (sabiedrības pārvaldes jomā)",0
"hr_profession_1213_18","1213 18","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS (sabiedrības pārvaldes jomā)",0
"hr_profession_1213_19","1213 19","Pamatdarbības struktūrvienības VADĪTĀJS/ PRIEKŠNIEKS (tiesu varas jomā)",0
"hr_profession_1213_20","1213 20","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS (tiesu varas jomā)",0
"hr_profession_1213_21","1213 21","Pamatdarbības struktūrvienības VADĪTĀJS (darbinieku interešu un tiesību aizsardzības jomā)",0
"hr_profession_1213_22","1213 22","Pamatdarbības struktūrvienības VADĪTĀJS (tiesību administrēšanas un pārvaldījuma jomā)",0
"hr_profession_1213_23","1213 23","Pašvaldības pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS/ PRIEKŠNIEKS",0
"hr_profession_1213_24","1213 24","Pašvaldības pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS",0
"hr_profession_1213_25","1213 25","Galvenais valsts INSPEKTORS",0
"hr_profession_1213_26","1213 26","Valsts INSPEKTORS",0
"hr_profession_1213_27","1213 27","VirsMEŽZINIS",0
"hr_profession_1213_28","1213 28","VirsMEŽZIŅA VIETNIEKS",0
"hr_profession_1213_31","1213 31","Vecākais MEŽZINIS",0
"hr_profession_1213_32","1213 32","Diplomātiskā protokola struktūrvienības VADĪTĀJS",0
"hr_profession_1213_33","1213 33","Diplomātiskā protokola struktūrvienības VADĪTĀJA VIETNIEKS",0
"hr_profession_1219_01","1219 01","VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (komunālo pakalpojumu jomā)",0
"hr_profession_1219_02","1219 02","VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS/ IZPILDDIREKTORS (komunālo pakalpojumu jomā)",0
"hr_profession_1219_03","1219 03","Pamatdarbības struktūrvienības VADĪTĀJS (komunālo pakalpojumu jomā)",0
"hr_profession_1219_04","1219 04","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS (komunālo pakalpojumu jomā)",0
"hr_profession_1219_05","1219 05","Pārvaldes PRIEKŠNIEKS (sabiedriskās kārtības un drošības jomā)",0
"hr_profession_1219_06","1219 06","Pārvaldes PRIEKŠNIEKA VIETNIEKS (sabiedriskās kārtības un drošības jomā)",0
"hr_profession_1219_07","1219 07","Pamatdarbības struktūrvienības PRIEKŠNIEKS (sabiedriskās kārtības un drošības jomā)",0
"hr_profession_1219_08","1219 08","Pamatdarbības struktūrvienības PRIEKŠNIEKA VIETNIEKS (sabiedriskās kārtības un drošības jomā)",0
"hr_profession_1219_09","1219 09","Tehniskās struktūrvienības VADĪTĀJS",0
"hr_profession_1219_10","1219 10","Tehniskās struktūrvienības VADĪTĀJA VIETNIEKS",0
"hr_profession_1219_11","1219 11","Klientu apkalpošanas struktūrvienības VADĪTĀJS",0
"hr_profession_1219_12","1219 12","Klientu apkalpošanas struktūrvienības VADĪTĀJA VIETNIEKS",0
"hr_profession_1219_13","1219 13","Korespondentattiecību struktūrvienības VADĪTĀJS",0
"hr_profession_1219_14","1219 14","Korespondentattiecību struktūrvienības VADĪTĀJA VIETNIEKS",0
"hr_profession_1219_15","1219 15","Vērtspapīru darījumu struktūrvienības VADĪTĀJS",0
"hr_profession_1219_16","1219 16","Vērtspapīru darījumu struktūrvienības VADĪTĀJA VIETNIEKS",0
"hr_profession_1219_20","1219 20","Darba organizācijas struktūrvienības VADĪTĀJS",0
"hr_profession_1219_22","1219 22","Metodiskās struktūrvienības VADĪTĀJS",0
"hr_profession_1219_23","1219 23","Pasta tehniskās struktūrvienības VADĪTĀJS",0
"hr_profession_1219_25","1219 25","Pasta vērtszīmju un filatēlijas struktūrvienības VADĪTĀJS",0
"hr_profession_1219_27","1219 27","Saimniecības struktūrvienības VADĪTĀJS/ DIREKTORS/ PRIEKŠNIEKS",0
"hr_profession_1219_28","1219 28","Saimniecības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS",0
"hr_profession_1219_29","1219 29","Transporta struktūrvienības VADĪTĀJS/ DIREKTORS/ PRIEKŠNIEKS",0
"hr_profession_1219_30","1219 30","Transporta struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS",0
"hr_profession_1219_31","1219 31","Struktūrvienības VADĪTĀJS (citur neklasificētu komercpakalpojumu jomā)",0
"hr_profession_1219_32","1219 32","Struktūrvienības VADĪTĀJA VIETNIEKS (citur neklasificētu komercpakalpojumu jomā)",0
"hr_profession_1219_33","1219 33","Darba aizsardzības struktūrvienības VADĪTĀJS",0
"hr_profession_1219_34","1219 34","Darba aizsardzības struktūrvienības VADĪTĀJA VIETNIEKS",0
"hr_profession_1219_35","1219 35","Poligrāfijas struktūrvienības VADĪTĀJS",0
"hr_profession_1219_36","1219 36","Poligrāfijas struktūrvienības VADĪTĀJA VIETNIEKS",0
"hr_profession_1219_38","1219 38","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (apsardzes jomā)",0
"hr_profession_1219_39","1219 39","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (apsardzes jomā)",0
"hr_profession_1219_40","1219 40","SPA VADĪTĀJS",0
"hr_profession_1221_01","1221 01","Tirdzniecības DIREKTORS",0
"hr_profession_1221_02","1221 02","Tirgvedības DIREKTORS",0
"hr_profession_1221_03","1221 03","Tirdzniecības struktūrvienības VADĪTĀJS/ DIREKTORS",0
"hr_profession_1221_04","1221 04","Tirdzniecības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS",0
"hr_profession_1221_05","1221 05","Tirgvedības struktūrvienības VADĪTĀJS/ DIREKTORS",0
"hr_profession_1221_06","1221 06","Tirgvedības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS",0
"hr_profession_1221_07","1221 07","Iepirkumu struktūrvienības VADĪTĀJS/ DIREKTORS",0
"hr_profession_1221_08","1221 08","Iepirkumu struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS",0
"hr_profession_1221_09","1221 09","Piedāvājumu sagatavošanas struktūrvienības VADĪTĀJS (būvniecības jomā)",0
"hr_profession_1222_01","1222 01","Reklāmas struktūrvienības VADĪTĀJS/ DIREKTORS",0
"hr_profession_1222_02","1222 02","Reklāmas struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS",0
"hr_profession_1222_03","1222 03","Sabiedrisko attiecību struktūrvienības VADĪTĀJS/ DIREKTORS",0
"hr_profession_1222_04","1222 04","Sabiedrisko attiecību struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS",0
"hr_profession_1223_01","1223 01","Pētniecības struktūrvienības VADĪTĀJS/ DIREKTORS",0
"hr_profession_1223_02","1223 02","Pētniecības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS",0
"hr_profession_1223_03","1223 03","Laboratorijas VADĪTĀJS",0
"hr_profession_1311_01","1311 01","Lauksaimniecības uzņēmuma VADĪTĀJS",0
"hr_profession_1311_02","1311 02","Saimniecības VADĪTĀJA VIETNIEKS/ IZPILDDIREKTORS (lauksaimniecības jomā)",0
"hr_profession_1311_03","1311 03","Saimniecības VADĪTĀJS/ DIREKTORS (mežsaimniecības jomā)",0
"hr_profession_1311_04","1311 04","Saimniecības VADĪTĀJA VIETNIEKS/ IZPILDDIREKTORS (mežsaimniecības jomā)",0
"hr_profession_1311_05","1311 05","Saimniecības VADĪTĀJS/ DIREKTORS (medību saimniecības jomā)",0
"hr_profession_1311_06","1311 06","Saimniecības VADĪTĀJA VIETNIEKS/ IZPILDDIREKTORS (medību saimniecības jomā)",0
"hr_profession_1311_07","1311 07","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (lauksaimniecības jomā)",0
"hr_profession_1311_08","1311 08","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (lauksaimniecības jomā)",0
"hr_profession_1311_09","1311 09","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (mežsaimniecības jomā)",0
